name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
須崎市廃棄物埋立処分場,"[133.282959, 33.40073]",須崎市(高知県),53,山間,不燃ごみ・焼却残渣,500000,埋立中,高知県須崎市
宿毛市環境管理センター,"[132.726288, 32.939037]",宿毛市(高知県),17,山間,不燃ごみ・資源・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,115000,埋立中,高知県宿毛市
宿毛市母島不燃物処理場,"[132.726288, 32.939037]",宿毛市(高知県),76,山間,不燃ごみ,1700,埋立中,高知県宿毛市
土佐清水市不燃物処理センター,"[132.954926, 32.781593]",土佐清水市(高知県),78,山間,不燃ごみ・資源・直接搬入ごみ・粗大ごみ・焼却残渣,92637,埋立中,高知県土佐清水市
奈半利町茄子谷廃棄物処分場,"[134.021011, 33.424175]",奈半利町(高知県),6,山間,不燃ごみ・直接搬入ごみ,20528,埋立中,高知県安芸郡奈半利町
田野町中野不燃物処理場,"[134.004791, 33.433178]",田野町(高知県),93,山間,不燃ごみ・その他・直接搬入ごみ,13000,埋立中,高知県田野町中野
安田町不燃物埋立処分地,"[133.981216, 33.439079]",安田町(高知県),98,山間,不燃ごみ,90000,埋立中,高知県安芸郡安田町
北川村長山ゴミ処理場,"[134.040787, 33.470234]",北川村(高知県),99,山間,直接搬入ごみ,17550,埋立中,高知県北川村長山
馬路村処分場,"[134.048111, 33.555256]",馬路村(高知県),12,山間,不燃ごみ・粗大ごみ・焼却残渣,32250,埋立中,高知県安芸郡馬路村
芸西村竹薮埋立処分地,"[133.809189, 33.526989]",芸西村(高知県),98,平地,不燃ごみ・破砕ごみ・中間処理残査,2470,埋立中,高知県安芸郡芸西村
芸西村吉野,"[133.809189, 33.526989]",芸西村(高知県),76,平地,その他・焼却残渣,1200,埋立中,高知県安芸郡芸西村
土佐山田町立ごみ処理場,"[133.673141, 33.605453]",土佐山田町(高知県),72,山間,不燃ごみ・粗大ごみ,54000,埋立中,高知県香美市土佐山田町
野市町西佐古不燃物処理場,"[133.702286, 33.592869]",野市町(高知県),91,平地,不燃ごみ,5320,埋立中,高知県香南市野市町西佐古
夜須町西山処分場,"[133.762222, 33.549313]",夜須町(高知県),96,山間,直接搬入ごみ,10000,埋立中,高知県香南市夜須町西山
大豊町灰捨場,"[133.643036, 33.768665]",大豊町(高知県),97,平地,不燃ごみ・焼却残渣,1000,埋立中,高知県大豊町
土佐山村菖蒲処分場,"[133.535828, 33.627445]",土佐山村(高知県),100,山間,不燃ごみ・焼却残渣,250,埋立終了,高知県高知市土佐山
大川村朝谷最終処分場,"[133.47142, 33.816483]",大川村(高知県),21,山間,その他,500,埋立中,高知県大川村朝谷
中土佐町七浦不燃物埋立処理場,"[133.224823, 33.329266]",中土佐町(高知県),84,山間,不燃ごみ・直接搬入ごみ・粗大ごみ,24000,埋立中,高知県高岡郡中土佐町
佐川町大田川埋立地,"[133.272964, 33.539845]",佐川町(高知県),100,山間,その他・直接搬入ごみ,12000,埋立終了,高知県佐川町大田川
窪川町天ノ川ガレキ捨場,"[133.133682, 33.205799]",窪川町(高知県),73,山間,その他,10573,埋立中,高知県四万十町窪川
大野見村栂ノ川ごみ処理施設,"[133.144196, 33.653324]",大野見村(高知県),88,山間,不燃ごみ・粗大ごみ,5600,埋立中,高知県仁淀川町大野
佐賀町清掃センター,"[133.096985, 33.078751]",佐賀町(高知県),100,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,23000,埋立中,高知県黒潮町佐賀
大月町環境クリーンセンター,"[132.707001, 32.841492]",大月町(高知県),12,山間,不燃ごみ・資源・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,21000,埋立中,高知県大月町
三原村宮ノ川大久保埋立処分場,"[132.839264, 32.924377]",三原村(高知県),89,山間,不燃ごみ,400,埋立中,高知県三原村宮ノ川
香南清掃組合神池暫定灰埋立処分場,"[133.70079, 33.564362]",香南清掃組合(高知県),100,山間,焼却残渣,7000,埋立終了,高知県香南市
中芸広域連合丸山最終処分場,"[133.10881, 33.57629]",中芸広域連合(高知県),92,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,11300,埋立中,高知県仁淀川町中
